imdbid,title,IMDB_Score,genres,poster_link
49,Richard Jewell (2019),,Drama,"https://m.media-amazon.com/images/M/MV5BNzc3ODY1ODAtMDhkMi00ZjExLWE4NTQtMTYwYWU3NGFmOTlkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX67_CR0,0,67,98_AL_.jpg"
50,Jojo Rabbit (2019),7.1,"Comedy, Drama, War","https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
51,Ready or Not (2019),7.1,"Comedy, Horror, Mystery","https://m.media-amazon.com/images/M/MV5BYzBkMzAyMDUtZTFkZS00OWUyLTgwM2ItNGI3MTQ5NzA3NTVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
52,Knives Out (2019),7.7,"Comedy, Crime, Drama","https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_UX67_CR0,0,67,98_AL_.jpg"
53,Tall Girl (2019),5.3,Comedy,"https://m.media-amazon.com/images/M/MV5BMDI3YmEwOTItNDEyNC00MGNlLWJiMjEtMzc0MTJjZmM1NGEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
54,6 Underground (2019),,"Action, Thriller","https://m.media-amazon.com/images/M/MV5BM2YyN2QxM2ItZTQ1Mi00OWUwLTgwNTktNjU0ZTZlODMwMmE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR0,0,67,98_AL_.jpg"
55,Frozen II (2019),,"Animation, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
56,Rabid (2019),5.2,"Horror, Sci-Fi","https://m.media-amazon.com/images/M/MV5BNGY2ODBhMGEtODA0ZC00Y2VkLWIxODAtMDg3ZWU3MDlkNmNjXkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_UY98_CR3,0,67,98_AL_.jpg"
57,Sye Raa Narasimha Reddy (2019),8.1,"Action, Drama, History","https://m.media-amazon.com/images/M/MV5BM2E2ZmJmZTAtOTJlMy00NTIwLTkxMmEtMTk0M2ZmZjhkMjdiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR1,0,67,98_AL_.jpg"
58,Countdown (2019),,"Horror, Thriller","https://m.media-amazon.com/images/M/MV5BYjcxMjM4MjgtNTEwMi00ZmE2LTlhMWUtMzQ4OWFmYmQwM2NlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
59,The Sky Is Pink (2019),6.5,"Drama, Family, Romance","https://m.media-amazon.com/images/M/MV5BNWQ5OTJjYTktMGNmYi00ZGMwLTlkYTgtODY3YWIxZDgyMzkwXkEyXkFqcGdeQXVyOTg4MzcyNzQ@._V1_UY98_CR0,0,67,98_AL_.jpg"
60,Motherless Brooklyn (2019),7.8,"Crime, Drama","https://m.media-amazon.com/images/M/MV5BNzQ0Mjk1YjItNWI1Ny00NWE2LWFlYTAtYjViY2YzMTVlOGVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
